tweet,tweet_cleaning,tweet_casefolding,normalisasi,tokenize,stopword removal,steming_data
ak dkung ndut agar bisa makan bergizi gratis di kedaimu itu,ak dkung ndut agar bisa makan bergizi gratis di kedaimu itu,ak dkung ndut makan gizi gratis kedai,aku dkung gendut makan gizi gratis kedai,"['aku', 'dkung', 'gendut', 'makan', 'gizi', 'gratis', 'kedai']","['dkung', 'gendut', 'makan', 'gizi', 'gratis', 'kedai']",dkung gendut makan gizi gratis kedai
"Program MBG menegaskan makan bergizi gratis hadir lewat pengelolaan dana at cost, tanpa mark up, dikontrol KPPN dan pengawas",Program MBG menegaskan makan bergizi gratis hadir lewat pengelolaan dana at cost tanpa mark up dikontrol KPPN dan pengawas,program mbg makan gizi gratis hadir kelola dana at cost mark up kontrol kppn awas,program mbak makan gizi gratis hadir kelola dana at cost mark up kontrol kppn awas,"['program', 'mbak', 'makan', 'gizi', 'gratis', 'hadir', 'kelola', 'dana', 'at', 'cost', 'mark', 'up', 'kontrol', 'kppn', 'awas']","['program', 'mbak', 'makan', 'gizi', 'gratis', 'hadir', 'kelola', 'dana', 'at', 'cost', 'mark', 'up', 'kontrol', 'kppn', 'awas']",program mbak makan gizi gratis hadir kelola dana at cost mark up kontrol kppn awas
"MBG hadir dengan konsep makan bergizi gratis yang diawasi KPK dan BPKP, dikelola KPPN, semua biar anak Indonesia tumbuh maksimal",MBG hadir dengan konsep makan bergizi gratis yang diawasi KPK dan BPKP dikelola KPPN semua biar anak Indonesia tumbuh maksimal,mbg hadir konsep makan gizi gratis awas kpk bpkp kelola kppn biar anak indonesia tumbuh maksimal,mbak hadir konsep makan gizi gratis awas kpk bpkp kelola kppn biar anak indonesia tumbuh maksimal,"['mbak', 'hadir', 'konsep', 'makan', 'gizi', 'gratis', 'awas', 'kpk', 'bpkp', 'kelola', 'kppn', 'biar', 'anak', 'indonesia', 'tumbuh', 'maksimal']","['mbak', 'hadir', 'konsep', 'makan', 'gizi', 'gratis', 'awas', 'kpk', 'bpkp', 'kelola', 'kppn', 'biar', 'anak', 'indonesia', 'tumbuh', 'maksimal']",mbak hadir konsep makan gizi gratis awas kpk bpkp kelola kppn biar anak indonesia tumbuh maksimal
"Pemerintah hadirkan makan bergizi gratis lewat MBG dengan keterbukaan, harga at cost, anggaran aman berkat KPPN, pengawasan BPKP & KPK selalu ketat",Pemerintah hadirkan makan bergizi gratis lewat MBG dengan keterbukaan harga at cost anggaran aman berkat KPPN pengawasan BPKP KPK selalu ketat,perintah hadir makan gizi gratis mbg buka harga at cost anggar aman berkat kppn awas bpkp kpk ketat,perintah hadir makan gizi gratis mbak buka harga at cost anggar aman berkat kppn awas bpkp kpk ketat,"['perintah', 'hadir', 'makan', 'gizi', 'gratis', 'mbak', 'buka', 'harga', 'at', 'cost', 'anggar', 'aman', 'berkat', 'kppn', 'awas', 'bpkp', 'kpk', 'ketat']","['perintah', 'hadir', 'makan', 'gizi', 'gratis', 'mbak', 'buka', 'harga', 'at', 'cost', 'anggar', 'aman', 'berkat', 'kppn', 'awas', 'bpkp', 'kpk', 'ketat']",perintah hadir makan gizi gratis mbak buka harga at cost anggar aman berkat kppn awas bpkp kpk ketat
"1.2 T sehari jadi 💩

Alokasi Anggaran buat Makan Bergizi Gratis Tembus Rp 1,2 Triliun/Hari share.google/zagtlOJzhvkHJz4…",12 T sehari jadi Alokasi Anggaran buat Makan Bergizi Gratis Tembus Rp 12 TriliunHari sharegooglezagtlOJzhvkHJz4,12 t hari alokasi anggar makan gizi gratis tembus rp 12 triliunhari sharegooglezagtlojzhvkhjz4,12 t hari alokasi anggar makan gizi gratis tembus rp 12 triliunhari sharegooglezagtlojzhvkhjz4,"['12', 't', 'hari', 'alokasi', 'anggar', 'makan', 'gizi', 'gratis', 'tembus', 'rp', '12', 'triliunhari', 'sharegooglezagtlojzhvkhjz4']","['12', 't', 'alokasi', 'anggar', 'makan', 'gizi', 'gratis', 'tembus', 'rp', '12', 'triliunhari', 'sharegooglezagtlojzhvkhjz4']",12 t alokasi anggar makan gizi gratis tembus rp 12 triliunhari sharegooglezagtlojzhvkhjz4
"Seluruh dana makan bergizi gratis dari MBG itu transparan, at cost, diawasin oleh KPPN, BPKP dan KPK, dijamin tepat sasaran",Seluruh dana makan bergizi gratis dari MBG itu transparan at cost diawasin oleh KPPN BPKP dan KPK dijamin tepat sasaran,dana makan gizi gratis mbg transparan at cost diawasin kppn bpkp kpk jamin sasar,dana makan gizi gratis mbak transparan at cost diawasin kppn bpkp kpk jamin sasar,"['dana', 'makan', 'gizi', 'gratis', 'mbak', 'transparan', 'at', 'cost', 'diawasin', 'kppn', 'bpkp', 'kpk', 'jamin', 'sasar']","['dana', 'makan', 'gizi', 'gratis', 'mbak', 'transparan', 'at', 'cost', 'diawasin', 'kppn', 'bpkp', 'kpk', 'jamin', 'sasar']",dana makan gizi gratis mbak transparan at cost diawasin kppn bpkp kpk jamin sasar
"Makan bergizi gratis jadi nyata lewat MBG yang dikelola terbuka, harga sesuai pasar, diawasi agar anti korupsi",Makan bergizi gratis jadi nyata lewat MBG yang dikelola terbuka harga sesuai pasar diawasi agar anti korupsi,makan gizi gratis nyata mbg kelola buka harga sesuai pasar awas anti korupsi,makan gizi gratis nyata mbak kelola buka harga sesuai pasar awas anti korupsi,"['makan', 'gizi', 'gratis', 'nyata', 'mbak', 'kelola', 'buka', 'harga', 'sesuai', 'pasar', 'awas', 'anti', 'korupsi']","['makan', 'gizi', 'gratis', 'nyata', 'mbak', 'kelola', 'buka', 'harga', 'sesuai', 'pasar', 'awas', 'anti', 'korupsi']",makan gizi gratis nyata mbak kelola buka harga sesuai pasar awas anti korupsi
"Makan bergizi gratis sekarang jelas dan bersih bareng MBG, harga at cost, dana lewat jalur KPPN, pengawasan ketat",Makan bergizi gratis sekarang jelas dan bersih bareng MBG harga at cost dana lewat jalur KPPN pengawasan ketat,makan gizi gratis bersih bareng mbg harga at cost dana jalur kppn awas ketat,makan gizi gratis bersih bareng mbak harga at cost dana jalur kppn awas ketat,"['makan', 'gizi', 'gratis', 'bersih', 'bareng', 'mbak', 'harga', 'at', 'cost', 'dana', 'jalur', 'kppn', 'awas', 'ketat']","['makan', 'gizi', 'gratis', 'bersih', 'bareng', 'mbak', 'harga', 'at', 'cost', 'dana', 'jalur', 'kppn', 'awas', 'ketat']",makan gizi gratis bersih bareng mbak harga at cost dana jalur kppn awas ketat
"Makan bergizi gratis makin aman dan tepat sasaran, KPPN kelola semua biaya at cost, BPKP plus KPK pastiin gak ada yang bisa mainin dana",Makan bergizi gratis makin aman dan tepat sasaran KPPN kelola semua biaya at cost BPKP plus KPK pastiin gak ada yang bisa mainin dana,makan gizi gratis aman sasar kppn kelola biaya at cost bpkp plus kpk pastiin gak mainin dana,makan gizi gratis aman sasar kppn kelola biaya at cost bpkp plus kpk pastiin tidak mainin dana,"['makan', 'gizi', 'gratis', 'aman', 'sasar', 'kppn', 'kelola', 'biaya', 'at', 'cost', 'bpkp', 'plus', 'kpk', 'pastiin', 'tidak', 'mainin', 'dana']","['makan', 'gizi', 'gratis', 'aman', 'sasar', 'kppn', 'kelola', 'biaya', 'at', 'cost', 'bpkp', 'plus', 'kpk', 'pastiin', 'mainin', 'dana']",makan gizi gratis aman sasar kppn kelola biaya at cost bpkp plus kpk pastiin mainin dana
Bapak saat meninjau pelaksanaan makan bergizi gratis,Bapak saat meninjau pelaksanaan makan bergizi gratis,tinjau laksana makan gizi gratis,tinjau laksana makan gizi gratis,"['tinjau', 'laksana', 'makan', 'gizi', 'gratis']","['tinjau', 'laksana', 'makan', 'gizi', 'gratis']",tinjau laksana makan gizi gratis
"Keseriusan pemerintah makin terasa lewat MBG, makan bergizi gratis, pengawasan maksimal, harga aman, pengelolaan transparan",Keseriusan pemerintah makin terasa lewat MBG makan bergizi gratis pengawasan maksimal harga aman pengelolaan transparan,serius perintah mbg makan gizi gratis awas maksimal harga aman kelola transparan,serius perintah mbak makan gizi gratis awas maksimal harga aman kelola transparan,"['serius', 'perintah', 'mbak', 'makan', 'gizi', 'gratis', 'awas', 'maksimal', 'harga', 'aman', 'kelola', 'transparan']","['serius', 'perintah', 'mbak', 'makan', 'gizi', 'gratis', 'awas', 'maksimal', 'harga', 'aman', 'kelola', 'transparan']",serius perintah mbak makan gizi gratis awas maksimal harga aman kelola transparan
"Pemerintah makin serius hadirkan makan bergizi gratis lewat MBG, anggaran transparan, KPPN handle semua, harga at cost, BPKP dan KPK awasi tanpa jeda",Pemerintah makin serius hadirkan makan bergizi gratis lewat MBG anggaran transparan KPPN handle semua harga at cost BPKP dan KPK awasi tanpa jeda,perintah serius hadir makan gizi gratis mbg anggar transparan kppn handle harga at cost bpkp kpk awas jeda,perintah serius hadir makan gizi gratis mbak anggar transparan kppn handle harga at cost bpkp kpk awas jeda,"['perintah', 'serius', 'hadir', 'makan', 'gizi', 'gratis', 'mbak', 'anggar', 'transparan', 'kppn', 'handle', 'harga', 'at', 'cost', 'bpkp', 'kpk', 'awas', 'jeda']","['perintah', 'serius', 'hadir', 'makan', 'gizi', 'gratis', 'mbak', 'anggar', 'transparan', 'kppn', 'handle', 'harga', 'at', 'cost', 'bpkp', 'kpk', 'awas', 'jeda']",perintah serius hadir makan gizi gratis mbak anggar transparan kppn handle harga at cost bpkp kpk awas jeda
"Makan bergizi gratis lewat MBG selalu bersih, tepat sasaran, dan aman dari segala bentuk korupsi",Makan bergizi gratis lewat MBG selalu bersih tepat sasaran dan aman dari segala bentuk korupsi,makan gizi gratis mbg bersih sasar aman bentuk korupsi,makan gizi gratis mbak bersih sasar aman bentuk korupsi,"['makan', 'gizi', 'gratis', 'mbak', 'bersih', 'sasar', 'aman', 'bentuk', 'korupsi']","['makan', 'gizi', 'gratis', 'mbak', 'bersih', 'sasar', 'aman', 'bentuk', 'korupsi']",makan gizi gratis mbak bersih sasar aman bentuk korupsi
"MBG bikin makan bergizi gratis makin terjamin, harga gak bisa dimarkup, semuanya transparan dan diawasi lembaga negara",MBG bikin makan bergizi gratis makin terjamin harga gak bisa dimarkup semuanya transparan dan diawasi lembaga negara,mbg bikin makan gizi gratis jamin harga gak dimarkup transparan awas lembaga negara,mbak bikin makan gizi gratis jamin harga tidak dimarkup transparan awas lembaga negara,"['mbak', 'bikin', 'makan', 'gizi', 'gratis', 'jamin', 'harga', 'tidak', 'dimarkup', 'transparan', 'awas', 'lembaga', 'negara']","['mbak', 'bikin', 'makan', 'gizi', 'gratis', 'jamin', 'harga', 'dimarkup', 'transparan', 'awas', 'lembaga', 'negara']",mbak bikin makan gizi gratis jamin harga dimarkup transparan awas lembaga negara
"Makan bergizi gratis dari MBG seluruhnya diatur transparan, harga sesuai pasar, jadi nggak bisa dimark up, plus pengawasan dari KPPN, BPKP, dan KPK",Makan bergizi gratis dari MBG seluruhnya diatur transparan harga sesuai pasar jadi nggak bisa dimark up plus pengawasan dari KPPN BPKP dan KPK,makan gizi gratis mbg atur transparan harga sesuai pasar nggak mark up plus awas kppn bpkp kpk,makan gizi gratis mbak atur transparan harga sesuai pasar tidak mark up plus awas kppn bpkp kpk,"['makan', 'gizi', 'gratis', 'mbak', 'atur', 'transparan', 'harga', 'sesuai', 'pasar', 'tidak', 'mark', 'up', 'plus', 'awas', 'kppn', 'bpkp', 'kpk']","['makan', 'gizi', 'gratis', 'mbak', 'atur', 'transparan', 'harga', 'sesuai', 'pasar', 'mark', 'up', 'plus', 'awas', 'kppn', 'bpkp', 'kpk']",makan gizi gratis mbak atur transparan harga sesuai pasar mark up plus awas kppn bpkp kpk
"MBG hadirkan makan bergizi gratis yang dikelola transparan, harga nggak bisa dimark up, diawasi KPK dan BPKP",MBG hadirkan makan bergizi gratis yang dikelola transparan harga nggak bisa dimark up diawasi KPK dan BPKP,mbg hadir makan gizi gratis kelola transparan harga nggak mark up awas kpk bpkp,mbak hadir makan gizi gratis kelola transparan harga tidak mark up awas kpk bpkp,"['mbak', 'hadir', 'makan', 'gizi', 'gratis', 'kelola', 'transparan', 'harga', 'tidak', 'mark', 'up', 'awas', 'kpk', 'bpkp']","['mbak', 'hadir', 'makan', 'gizi', 'gratis', 'kelola', 'transparan', 'harga', 'mark', 'up', 'awas', 'kpk', 'bpkp']",mbak hadir makan gizi gratis kelola transparan harga mark up awas kpk bpkp
"Transparansi jadi kunci MBG dalam alokasi makan bergizi gratis, dana diawasi KPPN, harga dikunci at cost, pengawasan ketat lembaga resmi",Transparansi jadi kunci MBG dalam alokasi makan bergizi gratis dana diawasi KPPN harga dikunci at cost pengawasan ketat lembaga resmi,transparansi kunci mbg alokasi makan gizi gratis dana awas kppn harga kunci at cost awas ketat lembaga resmi,transparansi kunci mbak alokasi makan gizi gratis dana awas kppn harga kunci at cost awas ketat lembaga resmi,"['transparansi', 'kunci', 'mbak', 'alokasi', 'makan', 'gizi', 'gratis', 'dana', 'awas', 'kppn', 'harga', 'kunci', 'at', 'cost', 'awas', 'ketat', 'lembaga', 'resmi']","['transparansi', 'kunci', 'mbak', 'alokasi', 'makan', 'gizi', 'gratis', 'dana', 'awas', 'kppn', 'harga', 'kunci', 'at', 'cost', 'awas', 'ketat', 'lembaga', 'resmi']",transparansi kunci mbak alokasi makan gizi gratis dana awas kppn harga kunci at cost awas ketat lembaga resmi
"Program MBG Penuhi Asupan Gizi Anak Bangsa
#ProgramMBG",Program MBG Penuhi Asupan Gizi Anak Bangsa ProgramMBG,program mbg penuh asupan gizi anak bangsa programmbg,program mbak penuh asupan gizi anak bangsa programmbg,"['program', 'mbak', 'penuh', 'asupan', 'gizi', 'anak', 'bangsa', 'programmbg']","['program', 'mbak', 'penuh', 'asupan', 'gizi', 'anak', 'bangsa', 'programmbg']",program mbak penuh asupan gizi anak bangsa programmbg
"BGN dan DPR: Program MBG Upaya Negara Cetak Generasi Sehat dan Cerdas Bangsa

sakawarta.com/bgn-dan-dpr-pr…",BGN dan DPR Program MBG Upaya Negara Cetak Generasi Sehat dan Cerdas Bangsa sakawartacombgndandprpr,bgn dpr program mbg upaya negara cetak generasi sehat cerdas bangsa sakawartacombgndandprpr,bgn dpr program mbak upaya negara cetak generasi sehat cerdas bangsa sakawartacombgndandprpr,"['bgn', 'dpr', 'program', 'mbak', 'upaya', 'negara', 'cetak', 'generasi', 'sehat', 'cerdas', 'bangsa', 'sakawartacombgndandprpr']","['bgn', 'dpr', 'program', 'mbak', 'upaya', 'negara', 'cetak', 'generasi', 'sehat', 'cerdas', 'bangsa', 'sakawartacombgndandprpr']",bgn dpr program mbak upaya negara cetak generasi sehat cerdas bangsa sakawartacombgndandprpr
"Iya bang masalahnya duit Segede gitu MBG nya masih ada yang belatungan, basi, keracunan.. kan taik.. gapapa MBG asal berkualitas",Iya bang masalahnya duit Segede gitu MBG nya masih ada yang belatungan basi keracunan kan taik gapapa MBG asal berkualitas,iya bang duit gede gitu mbg nya batung basi racun taik gapapa mbg kualitas,iya abang duit gede begitu mbak ya batung basi racun tahi gapapa mbak kualitas,"['iya', 'abang', 'duit', 'gede', 'begitu', 'mbak', 'ya', 'batung', 'basi', 'racun', 'tahi', 'gapapa', 'mbak', 'kualitas']","['iya', 'abang', 'duit', 'gede', 'mbak', 'ya', 'batung', 'basi', 'racun', 'tahi', 'gapapa', 'mbak', 'kualitas']",iya abang duit gede mbak ya batung basi racun tahi gapapa mbak kualitas
"Pembahasan 💡🌱📉 
Purbaya menekankan ""balik arah ekonomi"" melalui optimalisasi belanja (dari negatif Q1-Q2 2025) untuk target 6-7% PDB 📈🚀💰, selaras Pancasila via program MBG dan FLPP (stimulus Rp31,2T Harbolnas 2024). 💸🎁✨ Interpretasi kontekstual: Hilirisasi (KEK Gresik) dan retensi DHE SDA 100% (PP 8/2025) memperkuat kedaulatan ekonomi (sila ke-2) 🏭⚖️🌍, meski depresiasi rupiah 1,48% (Maret 2025) menantang redistribusi 💹🚫📉. Kritik: Basis pajak sempit (12,7% PDB) berpotensi kontradiktif dengan keadilan (sila ke-5) ⚖️🚫💼, memerlukan reformasi PPh/PPN progresif. Proyeksi: Dengan sinergi KSSK, defisit terkendali <3% 📉🔒💪, tapi risiko geopolitik (DXY naik) bisa tekan surplus perdagangan (3,5B USD Januari 2025) 🌐⚠️📊. 🌱💡🎆💥",Pembahasan Purbaya menekankan balik arah ekonomi melalui optimalisasi belanja dari negatif Q1Q2 2025 untuk target 67 PDB selaras Pancasila via program MBG dan FLPP stimulus Rp312T Harbolnas 2024 Interpretasi kontekstual Hilirisasi KEK Gresik dan retensi DHE SDA 100 PP 82025 memperkuat kedaulatan ekonomi sila ke2 meski depresiasi rupiah 148 Maret 2025 menantang redistribusi Kritik Basis pajak sempit 127 PDB berpotensi kontradiktif dengan keadilan sila ke5 memerlukan reformasi PPhPPN progresif Proyeksi Dengan sinergi KSSK defisit terkendali 3 tapi risiko geopolitik DXY naik bisa tekan surplus perdagangan 35B USD Januari 2025,bahas purbaya tekan arah ekonomi optimalisasi belanja negatif q1q2 2025 target 67 pdb selaras pancasila via program mbg flpp stimulus rp312t harbolnas 2024 interpretasi kontekstual hilir kek gresik retensi dhe sda 100 pp 82025 kuat daulat ekonomi sila ke2 depresiasi rupiah 148 maret 2025 tantang redistribusi kritik basis pajak sempit 127 pdb potensi kontradiktif adil sila ke5 reformasi pphppn progresif proyeksi sinergi kssk defisit kendali 3 risiko geopolitik dxy tekan surplus dagang 35b usd januari 2025,bahas purbaya tekan arah ekonomi optimalisasi belanja negatif q1q2 2025 target 67 pdb selaras pancasila via program mbak flpp stimulus rp312t harbolnas 2024 interpretasi kontekstual hilir kayak gresik retensi deh sda 100 pp 82025 kuat daulat ekonomi sila ke2 depresiasi rupiah 148 maret 2025 tantang redistribusi kritik basis pajak sempit 127 pdb potensi kontradiktif adil sila ke5 reformasi pphppn progresif proyeksi sinergi kssk defisit kendali 3 risiko geopolitik dxy tekan surplus dagang 35b usd januari 2025,"['bahas', 'purbaya', 'tekan', 'arah', 'ekonomi', 'optimalisasi', 'belanja', 'negatif', 'q1q2', '2025', 'target', '67', 'pdb', 'selaras', 'pancasila', 'via', 'program', 'mbak', 'flpp', 'stimulus', 'rp312t', 'harbolnas', '2024', 'interpretasi', 'kontekstual', 'hilir', 'kayak', 'gresik', 'retensi', 'deh', 'sda', '100', 'pp', '82025', 'kuat', 'daulat', 'ekonomi', 'sila', 'ke2', 'depresiasi', 'rupiah', '148', 'maret', '2025', 'tantang', 'redistribusi', 'kritik', 'basis', 'pajak', 'sempit', '127', 'pdb', 'potensi', 'kontradiktif', 'adil', 'sila', 'ke5', 'reformasi', 'pphppn', 'progresif', 'proyeksi', 'sinergi', 'kssk', 'defisit', 'kendali', '3', 'risiko', 'geopolitik', 'dxy', 'tekan', 'surplus', 'dagang', '35b', 'usd', 'januari', '2025']","['bahas', 'purbaya', 'tekan', 'arah', 'ekonomi', 'optimalisasi', 'belanja', 'negatif', 'q1q2', '2025', 'target', '67', 'pdb', 'selaras', 'pancasila', 'via', 'program', 'mbak', 'flpp', 'stimulus', 'rp312t', 'harbolnas', '2024', 'interpretasi', 'kontekstual', 'hilir', 'kayak', 'gresik', 'retensi', 'deh', 'sda', '100', 'pp', '82025', 'kuat', 'daulat', 'ekonomi', 'sila', 'ke2', 'depresiasi', 'rupiah', '148', 'maret', '2025', 'tantang', 'redistribusi', 'kritik', 'basis', 'pajak', 'sempit', '127', 'pdb', 'potensi', 'kontradiktif', 'adil', 'sila', 'ke5', 'reformasi', 'pphppn', 'progresif', 'proyeksi', 'sinergi', 'kssk', 'defisit', 'kendali', '3', 'risiko', 'geopolitik', 'dxy', 'tekan', 'surplus', 'dagang', '35b', 'usd', 'januari', '2025']",bahas purbaya tekan arah ekonomi optimalisasi belanja negatif q1q2 2025 target 67 pdb selaras pancasila via program mbak flpp stimulus rp312t harbolnas 2024 interpretasi kontekstual hilir kayak gresik retensi deh sda 100 pp 82025 kuat daulat ekonomi sila ke2 depresiasi rupiah 148 maret 2025 tantang redistribusi kritik basis pajak sempit 127 pdb potensi kontradiktif adil sila ke5 reformasi pphppn progresif proyeksi sinergi kssk defisit kendali 3 risiko geopolitik dxy tekan surplus dagang 35b usd januari 2025
Tempate anakku mbg+ di tambaj iuran ortu,Tempate anakku mbg di tambaj iuran ortu,tempate anak mbg tambaj iur ortu,tempate anak mbak tambaj iur,"['tempate', 'anak', 'mbak', 'tambaj', 'iur']","['tempate', 'anak', 'mbak', 'tambaj', 'iur']",tempate anak mbak tambaj iur
plissss udah stop aja program mbg itu. orang gak berjalan dengan baik,plissss udah stop aja program mbg itu orang gak berjalan dengan baik,plissss udah stop aja program mbg orang gak jalan,plissss sudah stop saja program mbak orang tidak jalan,"['plissss', 'sudah', 'stop', 'saja', 'program', 'mbak', 'orang', 'tidak', 'jalan']","['plissss', 'stop', 'program', 'mbak', 'orang', 'jalan']",plissss stop program mbak orang jalan
Well explained ser,Well explained ser,well explained ser,well explained ser,"['well', 'explained', 'ser']","['well', 'explained', 'ser']",well explained ser
Mari kita dukung Program MBG,Mari kita dukung Program MBG,mari dukung program mbg,mari dukung program mbak,"['mari', 'dukung', 'program', 'mbak']","['mari', 'dukung', 'program', 'mbak']",mari dukung program mbak
Program MBG ciptakan generasi sehat,Program MBG ciptakan generasi sehat,program mbg cipta generasi sehat,program mbak cipta generasi sehat,"['program', 'mbak', 'cipta', 'generasi', 'sehat']","['program', 'mbak', 'cipta', 'generasi', 'sehat']",program mbak cipta generasi sehat
"PER HARIII??
Tapi makanannya ga proper. Semingguan ini sekolah anak aku baru kebagian mbg ini. Gada yg dimakan. Karna ga cocok.
Mending dana nya dialokasiin ke hal lain. Pendidikan gratis gitu atau pengembangan daerah atau apa kek.",PER HARIII Tapi makanannya ga proper Semingguan ini sekolah anak aku baru kebagian mbg ini Gada yg dimakan Karna ga cocok Mending dana nya dialokasiin ke hal lain Pendidikan gratis gitu atau pengembangan daerah atau apa kek,hariii makan ga proper minggu sekolah anak bagi mbg gada yg makan karna ga cocok mending dana nya dialokasiin didik gratis gitu kembang daerah kek,hariii makan tidak proper minggu sekolah anak bagi mbak yang makan karena tidak cocok mending dana ya dialokasiin didik gratis begitu kembang daerah kayak,"['hariii', 'makan', 'tidak', 'proper', 'minggu', 'sekolah', 'anak', 'bagi', 'mbak', 'yang', 'makan', 'karena', 'tidak', 'cocok', 'mending', 'dana', 'ya', 'dialokasiin', 'didik', 'gratis', 'begitu', 'kembang', 'daerah', 'kayak']","['hariii', 'makan', 'proper', 'minggu', 'sekolah', 'anak', 'mbak', 'makan', 'cocok', 'mending', 'dana', 'ya', 'dialokasiin', 'didik', 'gratis', 'kembang', 'daerah', 'kayak']",hariii makan proper minggu sekolah anak mbak makan cocok mending dana ya dialokasiin didik gratis kembang daerah kayak
eh maaf tp sejauh ini mbg kemakan snackny doang😔,eh maaf tp sejauh ini mbg kemakan snackny doang,eh maaf tp mbg makan snackny doang,eh maaf tapi mbak makan snackny doang,"['eh', 'maaf', 'tapi', 'mbak', 'makan', 'snackny', 'doang']","['eh', 'maaf', 'mbak', 'makan', 'snackny', 'doang']",eh maaf mbak makan snackny doang
"Backed by real assets and global regulation, $MBG is built for serious long-term utility.",Backed by real assets and global regulation MBG is built for serious longterm utility,backed by real assets and global regulation mbg is built for serious longterm utility,backed by real assets and global regulation mbak is built for serious longterm utility,"['backed', 'by', 'real', 'assets', 'and', 'global', 'regulation', 'mbak', 'is', 'built', 'for', 'serious', 'longterm', 'utility']","['backed', 'by', 'real', 'assets', 'and', 'global', 'regulation', 'mbak', 'is', 'built', 'for', 'serious', 'longterm', 'utility']",backed by real assets and global regulation mbak is built for serious longterm utility
"MBG 2025 - Generasi sehat, cerdas kuat",MBG 2025 Generasi sehat cerdas kuat,mbg 2025 generasi sehat cerdas kuat,mbak 2025 generasi sehat cerdas kuat,"['mbak', '2025', 'generasi', 'sehat', 'cerdas', 'kuat']","['mbak', '2025', 'generasi', 'sehat', 'cerdas', 'kuat']",mbak 2025 generasi sehat cerdas kuat
"MBG ponakan, parah sih",MBG ponakan parah sih,mbg ponakan parah sih,mbak ponakan parah sih,"['mbak', 'ponakan', 'parah', 'sih']","['mbak', 'ponakan', 'parah', 'sih']",mbak ponakan parah sih
"Dengan mengusung model pengawasan terpadu, Biddokkes Polda Metro Jaya memastikan bahwa program Makan Bergizi Gratis (MBG) aman dan sehat bagi siswa. erakini.id/nasional/era-Z3XQ…",Dengan mengusung model pengawasan terpadu Biddokkes Polda Metro Jaya memastikan bahwa program Makan Bergizi Gratis MBG aman dan sehat bagi siswa erakiniidnasionaleraZ3XQ,usung model awas padu biddokkes polda metro jaya program makan gizi gratis mbg aman sehat siswa erakiniidnasionaleraz3xq,usung model awas padu biddokkes polda metro jaya program makan gizi gratis mbak aman sehat siswa erakiniidnasionaleraz3xq,"['usung', 'model', 'awas', 'padu', 'biddokkes', 'polda', 'metro', 'jaya', 'program', 'makan', 'gizi', 'gratis', 'mbak', 'aman', 'sehat', 'siswa', 'erakiniidnasionaleraz3xq']","['usung', 'model', 'awas', 'padu', 'biddokkes', 'polda', 'metro', 'jaya', 'program', 'makan', 'gizi', 'gratis', 'mbak', 'aman', 'sehat', 'siswa', 'erakiniidnasionaleraz3xq']",usung model awas padu biddokkes polda metro jaya program makan gizi gratis mbak aman sehat siswa erakiniidnasionaleraz3xq
"MBG hadir buktikan komitmen pemerintah, makan bergizi gratis dijaga pengelolaannya agar beneran bermanfaat untuk masa depan",MBG hadir buktikan komitmen pemerintah makan bergizi gratis dijaga pengelolaannya agar beneran bermanfaat untuk masa depan,mbg hadir bukti komitmen perintah makan gizi gratis jaga kelola beneran manfaat,mbak hadir bukti komitmen perintah makan gizi gratis jaga kelola benaran manfaat,"['mbak', 'hadir', 'bukti', 'komitmen', 'perintah', 'makan', 'gizi', 'gratis', 'jaga', 'kelola', 'benaran', 'manfaat']","['mbak', 'hadir', 'bukti', 'komitmen', 'perintah', 'makan', 'gizi', 'gratis', 'jaga', 'kelola', 'benaran', 'manfaat']",mbak hadir bukti komitmen perintah makan gizi gratis jaga kelola benar manfaat
"Pemerintah tunjukin aksi lewat makan bergizi gratis, biaya at cost lewat KPPN, BPKP dan KPK selalu cek semua proses",Pemerintah tunjukin aksi lewat makan bergizi gratis biaya at cost lewat KPPN BPKP dan KPK selalu cek semua proses,perintah tunjukin aksi makan gizi gratis biaya at cost kppn bpkp kpk cek proses,perintah tunjukkan aksi makan gizi gratis biaya at cost kppn bpkp kpk cek proses,"['perintah', 'tunjukkan', 'aksi', 'makan', 'gizi', 'gratis', 'biaya', 'at', 'cost', 'kppn', 'bpkp', 'kpk', 'cek', 'proses']","['perintah', 'tunjukkan', 'aksi', 'makan', 'gizi', 'gratis', 'biaya', 'at', 'cost', 'kppn', 'bpkp', 'kpk', 'cek', 'proses']",perintah tunjuk aksi makan gizi gratis biaya at cost kppn bpkp kpk cek proses
"MBG tegaskan makan bergizi gratis itu tepat sasaran, tanpa mark up, anggaran terkontrol transparan, diawasi BPKP dan KPK langsung",MBG tegaskan makan bergizi gratis itu tepat sasaran tanpa mark up anggaran terkontrol transparan diawasi BPKP dan KPK langsung,mbg tegas makan gizi gratis sasar mark up anggar kontrol transparan awas bpkp kpk langsung,mbak tegas makan gizi gratis sasar mark up anggar kontrol transparan awas bpkp kpk langsung,"['mbak', 'tegas', 'makan', 'gizi', 'gratis', 'sasar', 'mark', 'up', 'anggar', 'kontrol', 'transparan', 'awas', 'bpkp', 'kpk', 'langsung']","['mbak', 'makan', 'gizi', 'gratis', 'sasar', 'mark', 'up', 'anggar', 'kontrol', 'transparan', 'awas', 'bpkp', 'kpk', 'langsung']",mbak makan gizi gratis sasar mark up anggar kontrol transparan awas bpkp kpk langsung
