tweet,tweet_cleaning,tweet_casefolding,normalisasi,tokenize,stopword removal,steming_data
After makan bergizi gratis,After makan bergizi gratis,after makan gizi gratis,after makan gizi gratis,"['after', 'makan', 'gizi', 'gratis']","['after', 'makan', 'gizi', 'gratis']",after makan gizi gratis
Makan Bergizi Gratis: Investasi Masa depan atau Beban Anggaran #MBG kompasiana.com/saprajie8558/…,Makan Bergizi Gratis Investasi Masa depan atau Beban Anggaran MBG kompasianacomsaprajie8558,makan gizi gratis investasi beban anggar mbg kompasianacomsaprajie8558,makan gizi gratis investasi beban anggar mbak kompasianacomsaprajie8558,"['makan', 'gizi', 'gratis', 'investasi', 'beban', 'anggar', 'mbak', 'kompasianacomsaprajie8558']","['makan', 'gizi', 'gratis', 'investasi', 'beban', 'anggar', 'mbak', 'kompasianacomsaprajie8558']",makan gizi gratis investasi beban anggar mbak kompasianacomsaprajie8558
"Emg kak inikan lgi nambal gegara proyek mercesuar kmren trs mbg danantara, b u parah😂😂",Emg kak inikan lgi nambal gegara proyek mercesuar kmren trs mbg danantara b u parah,emg kak ini lgi nambal gegara proyek mercesuar kmren trs mbg danantara b u parah,memang kak ini lagi nambal gegara proyek mercesuar kemarin terus mbak danantara b lu parah,"['memang', 'kak', 'ini', 'lagi', 'nambal', 'gegara', 'proyek', 'mercesuar', 'kemarin', 'terus', 'mbak', 'danantara', 'b', 'lu', 'parah']","['kak', 'nambal', 'gegara', 'proyek', 'mercesuar', 'kemarin', 'mbak', 'danantara', 'b', 'lu', 'parah']",kak nambal gegara proyek mercesuar kemarin mbak danantara b lu parah
"Pentingnya program MBG untuk masa depan
#FaktaIndonesia
#MakanBergiziGratis
#ManfaatMakanBergiziGratis
#DukungProgramMakanBergiziGratis",Pentingnya program MBG untuk masa depan FaktaIndonesia MakanBergiziGratis ManfaatMakanBergiziGratis DukungProgramMakanBergiziGratis,program mbg faktaindonesia makanbergizigratis manfaatmakanbergizigratis dukungprogrammakanbergizigratis,program mbak faktaindonesia makanbergizigratis manfaatmakanbergizigratis dukungprogrammakanbergizigratis,"['program', 'mbak', 'faktaindonesia', 'makanbergizigratis', 'manfaatmakanbergizigratis', 'dukungprogrammakanbergizigratis']","['program', 'mbak', 'faktaindonesia', 'makanbergizigratis', 'manfaatmakanbergizigratis', 'dukungprogrammakanbergizigratis']",program mbak faktaindonesia makanbergizigratis manfaatmakanbergizigratis dukungprogrammakanbergizigratis
"MBG adalah langkah nyata membangun generasi sehat
#MakanBergiziGratis #GenerasiSehat #IndonesiaEmas",MBG adalah langkah nyata membangun generasi sehat MakanBergiziGratis GenerasiSehat IndonesiaEmas,mbg langkah nyata bangun generasi sehat makanbergizigratis generasisehat indonesiaemas,mbak langkah nyata bangun generasi sehat makanbergizigratis generasisehat indonesiaemas,"['mbak', 'langkah', 'nyata', 'bangun', 'generasi', 'sehat', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']","['mbak', 'langkah', 'nyata', 'bangun', 'generasi', 'sehat', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']",mbak langkah nyata bangun generasi sehat makanbergizigratis generasisehat indonesiaemas
MBG sehatkan anak bangsa,MBG sehatkan anak bangsa,mbg sehat anak bangsa,mbak sehat anak bangsa,"['mbak', 'sehat', 'anak', 'bangsa']","['mbak', 'sehat', 'anak', 'bangsa']",mbak sehat anak bangsa
"MBG buat anak lebih fokus belajar
#MakanBergiziGratis #GenerasiSehat #IndonesiaEmas",MBG buat anak lebih fokus belajar MakanBergiziGratis GenerasiSehat IndonesiaEmas,mbg anak fokus ajar makanbergizigratis generasisehat indonesiaemas,mbak anak fokus ajar makanbergizigratis generasisehat indonesiaemas,"['mbak', 'anak', 'fokus', 'ajar', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']","['mbak', 'anak', 'fokus', 'ajar', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']",mbak anak fokus ajar makanbergizigratis generasisehat indonesiaemas
"Ini program harus di evaluasi soal prioritas, harusnya kasih ke desa"" pelosok atau sekolah yg tertinggal, masak sekolah swasta yg sppnya aja mahal juga dapet MBG. Ngaco banget",Ini program harus di evaluasi soal prioritas harusnya kasih ke desa pelosok atau sekolah yg tertinggal masak sekolah swasta yg sppnya aja mahal juga dapet MBG Ngaco banget,program evaluasi prioritas kasih desa pelosok sekolah yg tinggal masak sekolah swasta yg sppnya aja mahal dapet mbg ngaco banget,program evaluasi prioritas kasih desa pelosok sekolah yang tinggal masak sekolah swasta yang sppnya saja mahal dapat mbak mengaco banget,"['program', 'evaluasi', 'prioritas', 'kasih', 'desa', 'pelosok', 'sekolah', 'yang', 'tinggal', 'masak', 'sekolah', 'swasta', 'yang', 'sppnya', 'saja', 'mahal', 'dapat', 'mbak', 'mengaco', 'banget']","['program', 'evaluasi', 'prioritas', 'kasih', 'desa', 'pelosok', 'sekolah', 'tinggal', 'masak', 'sekolah', 'swasta', 'sppnya', 'mahal', 'mbak', 'mengaco', 'banget']",program evaluasi prioritas kasih desa pelosok sekolah tinggal masak sekolah swasta sppnya mahal mbak aco banget
"Bersama dukung program MBG
#MakanBergiziGratis #GenerasiSehat #IndonesiaEmas",Bersama dukung program MBG MakanBergiziGratis GenerasiSehat IndonesiaEmas,dukung program mbg makanbergizigratis generasisehat indonesiaemas,dukung program mbak makanbergizigratis generasisehat indonesiaemas,"['dukung', 'program', 'mbak', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']","['dukung', 'program', 'mbak', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']",dukung program mbak makanbergizigratis generasisehat indonesiaemas
"Tulah kata objektif, ngapa sih srimul dism aje paham byk proyek goBLOK yg bakal kacauin kebijakan fiskal?? Whosss, mbg, danantara?belum lagi coretax ,Klo mo ngomong objektif itu semua proyek mestinya bsa dinego sama srimul klo ini kegoblokan 😂😂😂",Tulah kata objektif ngapa sih srimul dism aje paham byk proyek goBLOK yg bakal kacauin kebijakan fiskal Whosss mbg danantarabelum lagi coretax Klo mo ngomong objektif itu semua proyek mestinya bsa dinego sama srimul klo ini kegoblokan,tulah objektif ngapa sih srimul dism aje paham byk proyek goblok yg kacauin bijak fiskal whosss mbg danantarabelum coretax klo mo ngomong objektif proyek mesti bsa dinego srimul klo goblok,tulah objektif ngapa sih srimul dism saja paham banyak proyek goblok yang kacauin bijak fiskal whosss mbak danantarabelum coretax kalau mau mengomong objektif proyek mesti bisa dinego srimul kalau goblok,"['tulah', 'objektif', 'ngapa', 'sih', 'srimul', 'dism', 'saja', 'paham', 'banyak', 'proyek', 'goblok', 'yang', 'kacauin', 'bijak', 'fiskal', 'whosss', 'mbak', 'danantarabelum', 'coretax', 'kalau', 'mau', 'mengomong', 'objektif', 'proyek', 'mesti', 'bisa', 'dinego', 'srimul', 'kalau', 'goblok']","['tulah', 'objektif', 'ngapa', 'sih', 'srimul', 'dism', 'paham', 'proyek', 'goblok', 'kacauin', 'bijak', 'fiskal', 'whosss', 'mbak', 'danantarabelum', 'coretax', 'mengomong', 'objektif', 'proyek', 'mesti', 'dinego', 'srimul', 'goblok']",tulah objektif ngapa sih srimul dism paham proyek goblok kacauin bijak fiskal whosss mbak danantarabelum coretax omong objektif proyek mesti dinego srimul goblok
"MBG Pondasi masa depan cerah
#MakanBergiziGratis #GenerasiSehat #IndonesiaEmas",MBG Pondasi masa depan cerah MakanBergiziGratis GenerasiSehat IndonesiaEmas,mbg pondasi cerah makanbergizigratis generasisehat indonesiaemas,mbak pondasi cerah makanbergizigratis generasisehat indonesiaemas,"['mbak', 'pondasi', 'cerah', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']","['mbak', 'pondasi', 'cerah', 'makanbergizigratis', 'generasisehat', 'indonesiaemas']",mbak pondasi cerah makanbergizigratis generasisehat indonesiaemas
mbg diganti nugget rebus,mbg diganti nugget rebus,mbg ganti nugget rebus,mbak ganti nugget rebus,"['mbak', 'ganti', 'nugget', 'rebus']","['mbak', 'ganti', 'nugget', 'rebus']",mbak ganti nugget rebus
"coba bayangin, lahir di keluarga kaya, terpendidik, tapi nyatanya masih punya anak idiot. trus negara yakin kualitas berpikir anak indonesia cerah dengan program MBG dgn nutrisi 15rb rupiah 😵‍💫",coba bayangin lahir di keluarga kaya terpendidik tapi nyatanya masih punya anak idiot trus negara yakin kualitas berpikir anak indonesia cerah dengan program MBG dgn nutrisi 15rb rupiah,coba bayangin lahir keluarga kaya didik anak idiot trus negara kualitas pikir anak indonesia cerah program mbg dgn nutrisi 15rb rupiah,coba bayangkan lahir keluarga kayak didik anak idiot terus negara kualitas pikir anak indonesia cerah program mbak dengan nutrisi 15rb rupiah,"['coba', 'bayangkan', 'lahir', 'keluarga', 'kayak', 'didik', 'anak', 'idiot', 'terus', 'negara', 'kualitas', 'pikir', 'anak', 'indonesia', 'cerah', 'program', 'mbak', 'dengan', 'nutrisi', '15rb', 'rupiah']","['coba', 'bayangkan', 'lahir', 'keluarga', 'kayak', 'didik', 'anak', 'idiot', 'negara', 'kualitas', 'pikir', 'anak', 'indonesia', 'cerah', 'program', 'mbak', 'nutrisi', '15rb', 'rupiah']",coba bayang lahir keluarga kayak didik anak idiot negara kualitas pikir anak indonesia cerah program mbak nutrisi 15rb rupiah
"9 days to the  @MavrykNetwork launch.

If you still haven't positioned yourselves for this then I suggest you change that ASAP.

 Come along & learn about everything Mavryk on this space with their founder & CEO @mv1_Davis.

Too many people faded MBG and we cooked from 400M > 3B.

Don't make the same mistake again.",9 days to the launch If you still havent positioned yourselves for this then I suggest you change that ASAP Come along learn about everything Mavryk on this space with their founder CEO Too many people faded MBG and we cooked from 400M 3B Dont make the same mistake again,9 days to the launch if you still havent positioned yourselves for this then i suggest you change that asap come along learn about everything mavryk on this space with their founder ceo too many people faded mbg and we cooked from 400m 3b dont make the same mistake again,9 days tapi the launch if you still havent positioned yourselves for this then i suggest you change that asap come along learn about everything mavryk on this space with their founder ceo too many people faded mbak and we cooked from 400m 3b dont memakai the same mistake again,"['9', 'days', 'tapi', 'the', 'launch', 'if', 'you', 'still', 'havent', 'positioned', 'yourselves', 'for', 'this', 'then', 'i', 'suggest', 'you', 'change', 'that', 'asap', 'come', 'along', 'learn', 'about', 'everything', 'mavryk', 'on', 'this', 'space', 'with', 'their', 'founder', 'ceo', 'too', 'many', 'people', 'faded', 'mbak', 'and', 'we', 'cooked', 'from', '400m', '3b', 'dont', 'memakai', 'the', 'same', 'mistake', 'again']","['9', 'days', 'the', 'launch', 'if', 'you', 'still', 'havent', 'positioned', 'yourselves', 'for', 'this', 'then', 'i', 'suggest', 'you', 'change', 'that', 'asap', 'come', 'along', 'learn', 'about', 'everything', 'mavryk', 'on', 'this', 'space', 'with', 'their', 'founder', 'ceo', 'too', 'many', 'people', 'faded', 'mbak', 'and', 'we', 'cooked', 'from', '400m', '3b', 'dont', 'memakai', 'the', 'same', 'mistake', 'again']",9 days the launch if you still havent positioned yourselves for this then i suggest you change that asap come along learn about everything mavryk on this space with their founder ceo too many people faded mbak and we cooked from 400m 3b dont pakai the same mistake again
"Harusnya food tray mesti dicek yang dipakai MBG di Indonesia..
Napa ke China?

Saran..
Sekalian makan babi di China biar pintar.!!
@Haikal_Hassan bener² GOBLOK.!
Sok suci, 'jualan' agama demi kepentingan pribadi.!!
JINGAN.! 😡😡😡",Harusnya food tray mesti dicek yang dipakai MBG di Indonesia Napa ke China Saran Sekalian makan babi di China biar pintar bener² GOBLOK Sok suci jualan agama demi kepentingan pribadi JINGAN,food tray mesti cek pakai mbg indonesia napa china saran makan babi china biar pintar bener goblok sok suci jual agama penting pribadi jingan,food tray mesti cek pakai mbak indonesia kenapa china saran makan babi china biar pintar benar goblok sok suci jual agama penting pribadi jingan,"['food', 'tray', 'mesti', 'cek', 'pakai', 'mbak', 'indonesia', 'kenapa', 'china', 'saran', 'makan', 'babi', 'china', 'biar', 'pintar', 'benar', 'goblok', 'sok', 'suci', 'jual', 'agama', 'penting', 'pribadi', 'jingan']","['food', 'tray', 'mesti', 'cek', 'pakai', 'mbak', 'indonesia', 'china', 'saran', 'makan', 'babi', 'china', 'biar', 'pintar', 'goblok', 'sok', 'suci', 'jual', 'agama', 'pribadi', 'jingan']",food tray mesti cek pakai mbak indonesia china saran makan babi china biar pintar goblok sok suci jual agama pribadi jingan
